date,station_uuid,diesel,e5,e10,dieselchange,e5change,e10change
2021-11-17 15:23:14+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.619,1.739,1.719,1,0,1
2021-11-17 15:25:07+01,a85d3547-c83c-496b-aef7-039251357ea2,1.589,1.769,1.709,1,1,1
2021-11-17 15:26:07+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.619,1.779,1.719,0,1,0
2021-11-17 15:28:09+01,e1a15081-2627-9107-e040-0b0a3dfe563c,1.549,1.719,1.659,1,0,0
2021-11-17 15:35:09+01,7859c737-7ba0-4506-9ebd-867609d63371,1.549,1.749,1.689,1,1,1
2021-11-17 15:46:09+01,e1a15081-2627-9107-e040-0b0a3dfe563c,1.509,1.679,1.619,1,1,1
2021-11-17 15:47:12+01,a85d3547-c83c-496b-aef7-039251357ea2,1.569,1.749,1.689,1,1,1
2021-11-17 15:49:10+01,a85d3547-c83c-496b-aef7-039251357ea2,1.559,1.739,1.679,1,1,1
2021-11-17 15:56:09+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.619,1.769,1.709,0,1,1
2021-11-17 15:57:08+01,292d33c7-5c95-4bcd-818d-e47b1096d2de,1.529,1.709,1.649,1,1,1
2021-11-17 16:06:06+01,a85d3547-c83c-496b-aef7-039251357ea2,1.549,1.729,1.669,1,1,1
2021-11-17 16:08:10+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.609,1.739,1.709,1,1,0
2021-11-17 16:11:10+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.609,1.739,1.679,0,0,1
2021-11-17 16:16:07+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.609,1.729,1.669,0,1,1
2021-11-17 16:22:09+01,17841c66-b61d-444a-8618-a551734246b6,1.549,1.709,1.649,1,0,0
2021-11-17 16:23:10+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.589,1.729,1.669,1,0,0
